S&P 500 High Tracker Snapshot
Data Date: 2026-08-26
Generated: 2026-08-27 00:11:58 UTC
Total stocks: 504
================================================================================

| Ticker   | Name                            |   Price |   Market Cap (B) |   % 1D |   % 1W |    % 1Y |   52W High |   % From 52W High |   All-Time High |   % From ATH | At 52W High   | At ATH   |          Vol |   Vol % 1D |   Vol % 1W |   Vol % 1Y |
| IEX      | IDEX Corporation                |  234.89 |            17.32 |   2.01 |   0.19 |   43.60 |     243.80 |             -3.65 |          243.80 |        -3.65 | False         | False    |    498159.00 |       7.22 |     -25.80 |     -34.03 |
| PFG      | Principal Financial Group Inc   |  112.21 |            24.02 |   0.56 |   0.51 |   44.42 |     116.61 |             -3.77 |          116.61 |        -3.77 | False         | False    |    803129.00 |      53.89 |       1.92 |     -17.59 |
| REGN     | Regeneron Pharmaceuticals, Inc. |  814.79 |            83.89 |  -2.25 |  -3.10 |   39.36 |     847.00 |             -3.80 |         1199.88 |       -32.09 | False         | False    |    583476.00 |      15.45 |     -22.24 |     -63.86 |
| SW       | Smurfit WestRock plc            |   49.56 |            26.00 |   0.26 |   1.75 |   10.22 |      51.52 |             -3.80 |           53.86 |        -7.99 | False         | False    |   3383765.00 |       6.39 |     -37.42 |     -31.69 |
| COP      | ConocoPhillips                  |  130.61 |           156.91 |  -0.93 |   0.02 |   38.82 |     135.88 |             -3.88 |          135.88 |        -3.88 | False         | False    |   5819009.00 |      -3.73 |     -25.83 |     -17.49 |
| DXCM     | DexCom, Inc.                    |   88.96 |            33.57 |  -0.22 |  -1.02 |   16.87 |      92.59 |             -3.92 |          164.86 |       -46.04 | False         | False    |   3820094.00 |      -6.96 |     -55.93 |     -21.09 |
| TGT      | Target Corporation              |  164.04 |            74.52 |   0.35 |   3.17 |   77.59 |     170.75 |             -3.93 |          230.18 |       -28.73 | False         | False    |   4477201.00 |     -41.07 |     -52.71 |     -30.03 |
| NTRS     | Northern Trust Corporation      |  187.66 |            34.33 |   0.45 |   1.22 |   45.54 |     195.78 |             -4.15 |          195.78 |        -4.15 | False         | False    |    749668.00 |     -26.98 |     -22.86 |     -40.99 |
| WBD      | Warner Bros. Discovery, Inc. -  |   28.75 |            72.08 |  -0.52 |   0.77 |  143.64 |      30.00 |             -4.17 |           78.14 |       -63.21 | False         | False    |  12499005.00 |     -48.78 |     -37.65 |     -78.42 |
| BBY      | Best Buy Co., Inc.              |   87.44 |            18.43 |   2.52 |  -1.98 |   25.31 |      91.27 |             -4.20 |          113.58 |       -23.01 | False         | False    |   6639304.00 |      58.38 |     121.00 |      37.45 |
| XYZ      | Block, Inc.                     |   83.10 |            49.93 |   0.46 |   2.68 |    5.48 |      86.75 |             -4.21 |          289.23 |       -71.27 | False         | False    |   3233993.00 |       8.06 |      -4.89 |     -36.94 |
| HIG      | The Hartford Insurance Group, I |  139.86 |            37.88 |   1.19 |   1.69 |    7.13 |     146.07 |             -4.25 |          146.07 |        -4.25 | False         | False    |   1038608.00 |      -4.23 |     -41.97 |     -38.95 |
| PCG      | Pacific Gas & Electric Co.      |   18.22 |            40.13 |  -0.76 |   3.23 |   22.35 |      19.05 |             -4.36 |           69.79 |       -73.89 | False         | False    |  17279135.00 |      13.52 |       0.43 |     -23.80 |
| MET      | MetLife, Inc.                   |   96.52 |            61.34 |   0.68 |   1.48 |   22.55 |     100.93 |             -4.37 |          100.93 |        -4.37 | False         | False    |   2442330.00 |      10.62 |     -29.16 |     -15.95 |
| RSG      | Republic Services, Inc.         |  222.18 |            68.03 |   0.55 |   0.52 |   -4.09 |     232.50 |             -4.44 |          255.20 |       -12.94 | False         | False    |   1439048.00 |       7.07 |       1.44 |      -1.85 |
| CPAY     | Corpay, Inc.                    |  406.93 |            26.72 |  -1.32 |  -0.04 |   25.14 |     425.95 |             -4.47 |          425.95 |        -4.47 | False         | False    |    507204.00 |     -12.69 |      51.40 |       8.61 |
| SCHW     | Charles Schwab Corporation (The |  109.39 |           189.17 |  -2.57 |  -1.34 |   13.93 |     114.53 |             -4.49 |          114.53 |        -4.49 | False         | False    |  13945969.00 |     176.28 |     114.19 |      80.61 |
| GD       | General Dynamics Corporation    |  382.02 |           103.36 |   1.44 |  -2.63 |   20.67 |     400.00 |             -4.50 |          400.00 |        -4.50 | False         | False    |    819804.00 |     -16.23 |      -4.71 |     -13.90 |
| TRGP     | Targa Resources, Inc.           |  294.03 |            63.05 |   2.48 |  -1.03 |   84.17 |     307.94 |             -4.52 |          307.94 |        -4.52 | False         | False    |    938315.00 |     -16.81 |     -38.66 |     -51.10 |
| EMR      | Emerson Electric Company        |  158.29 |            88.66 |   2.15 |   0.44 |   20.57 |     165.79 |             -4.52 |          165.79 |        -4.52 | False         | False    |   2064446.00 |     -33.66 |      32.79 |     -38.95 |
| BAC      | Bank of America Corporation     |   62.23 |           435.16 |  -0.32 |  -1.49 |   26.54 |      65.23 |             -4.60 |           65.23 |        -4.60 | False         | False    |  21749284.00 |      -7.00 |      -9.69 |     -46.44 |
| AMCR     | Amcor plc                       |   47.15 |            21.80 |  -0.25 |  -0.63 |   14.95 |      49.46 |             -4.66 |           57.07 |       -17.38 | False         | False    |   2929389.00 |     -13.78 |      -8.36 |     -38.90 |
| GILD     | Gilead Sciences, Inc.           |  148.09 |           183.62 |  -0.46 |   0.33 |   32.42 |     155.38 |             -4.69 |          155.38 |        -4.69 | False         | False    |   5247787.00 |      13.34 |     -22.12 |     -11.55 |
| SWK      | Stanley Black & Decker, Inc.    |   99.76 |            15.07 |   1.32 |  -0.04 |   38.73 |     104.68 |             -4.70 |          187.40 |       -46.77 | False         | False    |   1391055.00 |      14.64 |     -25.19 |     -47.98 |
| DRI      | Darden Restaurants, Inc.        |  218.81 |            24.84 |  -0.73 |  -1.39 |    9.60 |     229.76 |             -4.77 |          229.76 |        -4.77 | False         | False    |    653083.00 |      -6.73 |     -39.94 |     -28.03 |
| PRU      | Prudential Financial, Inc.      |  120.24 |            41.48 |   0.07 |  -0.48 |   15.75 |     126.26 |             -4.77 |          126.26 |        -4.77 | False         | False    |   1540635.00 |     -24.63 |      20.00 |     -43.77 |
| KDP      | Keurig Dr Pepper Inc.           |   32.21 |            43.83 |   1.15 |   3.69 |   14.99 |      33.82 |             -4.78 |           37.00 |       -12.95 | False         | False    |   7116844.00 |      11.83 |      -3.65 |     -88.76 |
| USB      | U.S. Bancorp                    |   62.80 |            97.85 |   0.62 |  -0.03 |   34.45 |      66.08 |             -4.96 |           66.08 |        -4.96 | False         | False    |   6387652.00 |       1.20 |     -17.99 |     -31.17 |
| WELL     | Welltower Inc.                  |  241.56 |           174.06 |   0.17 |   2.47 |   47.80 |     254.24 |             -4.99 |          254.24 |        -4.99 | False         | False    |   2351924.00 |      32.67 |       3.42 |     -35.25 |
| ESS      | Essex Property Trust, Inc.      |  288.17 |            19.86 |  -1.31 |   0.28 |   13.18 |     303.35 |             -5.00 |          308.93 |        -6.72 | False         | False    |    809688.00 |      76.36 |     153.82 |     121.89 |
| AIZ      | Assurant, Inc.                  |  288.51 |            14.23 |   1.18 |   3.66 |   36.71 |     303.94 |             -5.08 |          303.94 |        -5.08 | False         | False    |    282762.00 |       3.61 |      -0.37 |     -35.46 |
| CVX      | Chevron Corporation             |  200.21 |           392.73 |   0.16 |  -2.70 |   32.24 |     210.92 |             -5.08 |          210.92 |        -5.08 | False         | False    |   6856153.00 |     -16.15 |     -21.10 |     -33.24 |
| PKG      | Packaging Corporation of Americ |  246.68 |            21.98 |   0.06 |  -2.46 |   19.45 |     259.98 |             -5.12 |          259.98 |        -5.12 | False         | False    |    553727.00 |      23.24 |      12.80 |     -55.14 |
| HPQ      | HP Inc.                         |   30.52 |            27.91 |   3.39 |   1.94 |   18.79 |      32.19 |             -5.19 |           36.75 |       -16.94 | False         | False    |  22791909.00 |     123.13 |     139.33 |      91.08 |
| ADP      | Automatic Data Processing, Inc. |  281.39 |           111.79 |  -0.49 |   1.50 |   -4.69 |     297.05 |             -5.27 |          319.41 |       -11.90 | False         | False    |   1220895.00 |     -45.70 |     -48.16 |     -51.23 |
| MCO      | Moody's Corporation             |  514.55 |            89.11 |   0.28 |   3.52 |    1.49 |     543.25 |             -5.28 |          543.25 |        -5.28 | False         | False    |    756145.00 |       8.97 |     -20.96 |      22.65 |
| EG       | Everest Group, Ltd.             |  379.78 |            14.56 |   1.17 |   4.36 |   13.50 |     401.07 |             -5.31 |          401.07 |        -5.31 | False         | False    |    250186.00 |      30.99 |       4.68 |     -10.23 |
| DE       | Deere & Company                 |  634.54 |           171.39 |   0.62 |   9.28 |   31.72 |     670.49 |             -5.36 |          670.49 |        -5.36 | False         | False    |    830669.00 |     -31.17 |     -47.98 |     -44.73 |
| ZBH      | Zimmer Biomet Holdings, Inc.    |  101.38 |            19.34 |   1.14 |   0.64 |   -4.74 |     107.16 |             -5.40 |          167.44 |       -39.45 | False         | False    |   1352817.00 |       6.33 |      -9.92 |     -24.54 |
| PSA      | Public Storage                  |  317.37 |            59.27 |  -1.64 |  -2.39 |   14.42 |     335.55 |             -5.42 |          344.96 |        -8.00 | False         | False    |    735974.00 |       2.12 |       2.15 |      -3.19 |
| ITW      | Illinois Tool Works Inc.        |  285.51 |            81.31 |   1.37 |   0.44 |    9.95 |     301.92 |             -5.44 |          301.92 |        -5.44 | False         | False    |    889299.00 |      15.98 |      -0.58 |     -36.18 |
| RF       | Regions Financial Corporation   |   30.70 |            26.15 |   0.23 |   0.36 |   17.91 |      32.47 |             -5.45 |           32.47 |        -5.45 | False         | False    |   5348692.00 |     -25.80 |     -28.97 |     -72.75 |
| SNA      | Snap-On Incorporated            |  397.48 |            20.56 |   0.74 |   0.90 |   23.79 |     420.41 |             -5.45 |          420.41 |        -5.45 | False         | False    |    169869.00 |     -22.86 |     -51.42 |     -30.38 |
| MDLZ     | Mondelez International, Inc.    |   63.01 |            80.88 |   0.03 |  -1.79 |    5.07 |      66.65 |             -5.46 |           71.68 |       -12.09 | False         | False    |   6971939.00 |     -19.72 |       2.28 |     -17.56 |
| ED       | Consolidated Edison, Inc.       |  108.05 |            39.96 |   0.90 |   0.05 |   11.95 |     114.33 |             -5.49 |          114.33 |        -5.49 | False         | False    |   1847644.00 |      17.58 |     -28.58 |     -44.17 |
| PH       | Parker-Hannifin Corporation     | 1039.49 |           131.03 |   2.28 |   1.59 |   37.68 |    1099.94 |             -5.50 |         1099.94 |        -5.50 | False         | False    |    585165.00 |     -12.84 |     -29.58 |     -17.92 |
| DOC      | Healthpeak Properties, Inc.     |   21.58 |            15.30 |  -0.37 |   3.95 |   31.60 |      22.84 |             -5.51 |           28.27 |       -23.66 | False         | False    |   4300523.00 |       2.27 |      28.05 |     -54.83 |
| PNC      | PNC Financial Services Group, I |  244.67 |            97.61 |   0.23 |  -0.73 |   24.21 |     258.96 |             -5.52 |          258.96 |        -5.52 | False         | False    |   1519015.00 |      -7.48 |      18.09 |     -12.23 |
| MRSH     | Marsh                           |  193.26 |            92.23 |  -0.07 |   2.15 |   -4.45 |     204.56 |             -5.53 |          241.97 |       -20.13 | False         | False    |   2929660.00 |      78.16 |      54.71 |      42.88 |
